time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,990881;-0,0976;0,0784;0,0218;0,127
0,991522;0,0192;-0,0360;0,0045;0,041
1,015810;0,0204;0,0419;0,0044;0,047
1,016641;-0,0926;0,0048;-0,0048;0,093
1,016939;-0,0901;0,0060;-0,0049;0,090
1,040816;-0,0506;0,0059;-0,0050;0,051
1,041386;-0,0481;0,0824;-0,0275;0,099
1,065774;-0,0450;0,0440;-0,0276;0,069
1,066270;-0,0400;0,0439;-0,0160;0,062
1,066567;0,0020;0,0808;-0,0161;0,082
1,090739;0,1213;0,0411;-0,0297;0,131
1,091335;0,2029;-0,0369;-0,0299;0,208
1,117110;0,1696;-0,0000;-0,0186;0,171
1,117634;0,0955;-0,0397;0,0504;0,115
1,117896;0,1745;0,0725;0,0505;0,196
1,140905;0,1343;0,0316;0,0068;0,138
1,141529;0,1700;-0,0100;0,0071;0,170
1,166143;0,1654;-0,0516;-0,0005;0,173
1,166703;0,1584;-0,0542;0,0000;0,167
1,166964;0,1507;0,0185;0,0284;0,154
1,190806;0,0657;0,0159;-0,0005;0,068
1,191312;0,0172;0,0134;0,0001;0,022
1,218033;-0,0696;0,0108;0,0014;0,070
1,218591;0,0351;0,0083;0,0020;0,036
1,218870;-0,0517;0,0070;0,0023;0,052
1,240783;-0,0236;-0,0708;0,0029;0,075
1,241401;0,0065;-0,0337;0,0157;0,038
1,266237;-0,0011;0,0034;0,0162;0,017
1,266782;-0,0458;-0,0362;-0,0091;0,059
1,267070;-0,0521;0,0022;0,0172;0,055
1,290544;-0,1319;0,0022;0,0174;0,133
1,291022;-0,0572;0,0022;0,0297;0,064
1,315946;-0,0182;0,0782;0,0297;0,086
1,317007;-0,1293;0,0387;0,0266;0,138
1,317373;0,0291;0,0387;0,0263;0,055
1,340960;-0,0807;0,0388;-0,0002;0,090
1,341877;-0,0373;0,0005;-0,0005;0,037
1,365791;-0,0321;0,0772;-0,0008;0,084
1,366430;0,0496;0,0389;-0,0020;0,063
1,366710;-0,0219;0,0772;-0,0022;0,080
1,391124;-0,0550;0,0754;0,0356;0,100
1,391640;-0,0135;-0,0804;0,0356;0,089
1,416997;-0,0492;-0,0063;0,0529;0,073
1,417571;-0,0466;-0,0088;0,0530;0,071
1,417836;0,0326;-0,0112;0,0529;0,063
1,441387;0,0352;-0,1286;0,0417;0,140
1,441993;-0,0011;-0,0161;0,0417;0,045
1,465807;0,0386;-0,0569;0,0419;0,080
1,466360;0,0010;-0,0191;0,0419;0,046
1,466652;0,1160;0,0193;-0,0087;0,118
1,490794;0,0777;0,0194;-0,0087;0,081
1,491286;0,1161;0,0578;0,0118;0,130
1,516158;0,1526;0,0183;0,0119;0,154
1,516817;0,0352;0,0937;0,0109;0,101
1,517088;0,0327;-0,0594;0,0405;0,079
1,540541;0,0685;0,0192;0,0405;0,082
1,541145;0,1044;-0,0164;-0,0030;0,106
1,565696;0,1019;-0,0521;-0,0030;0,114
1,567875;-0,0156;-0,0495;0,0359;0,063
1,568184;-0,0181;-0,0853;0,0359;0,094
1,590763;-0,0590;-0,0444;0,0367;0,082
1,591255;-0,0615;-0,0036;0,0367;0,072
1,615419;0,0125;-0,0011;0,0370;0,039
1,616839;0,0482;0,0378;0,0362;0,071
1,617146;-0,0699;-0,0388;0,0364;0,088
1,640743;-0,0724;-0,0388;0,0419;0,092
1,641488;-0,0749;-0,0005;0,0420;0,086
1,665652;-0,0354;-0,0369;-0,0267;0,058
1,666683;-0,0328;-0,0331;-0,0271;0,054
1,666980;-0,0303;-0,0689;-0,0128;0,076
1,690697;-0,0278;0,0103;-0,0133;0,032
1,691198;0,0130;-0,0638;-0,0136;0,067
1,716015;0,0539;0,0536;-0,0149;0,077
1,716836;0,0181;0,0179;-0,0151;0,030
1,717134;0,0973;0,0198;0,0273;0,103
1,741051;0,0232;-0,0172;0,0271;0,040
1,741795;-0,0125;-0,0153;0,0270;0,033
1,766211;-0,0483;-0,0128;0,0267;0,057
1,766948;0,0309;-0,0102;0,0266;0,042
1,767207;-0,0426;-0,0077;0,0269;0,051
1,790907;-0,0018;-0,0818;0,0267;0,086
1,791404;-0,0376;0,0739;0,0048;0,083
1,815777;-0,0370;-0,0775;0,0046;0,086
1,816612;-0,0370;-0,0776;-0,0124;0,087
1,816880;-0,1137;0,0373;-0,0124;0,120
1,841277;-0,0754;0,0372;0,0261;0,088
1,841997;0,1161;0,1138;0,0261;0,165
1,865600;0,1161;0,1521;0,0244;0,193
1,866327;0,1160;0,1138;0,0322;0,166
1,866628;-0,0366;0,1527;0,0321;0,160
1,898114;0,1179;0,2287;0,0300;0,259
1,898819;0,0809;0,1118;0,0301;0,141
1,915482;0,1198;0,1087;0,0033;0,162
1,916181;-0,0698;0,0653;0,0035;0,096
1,916547;-0,0289;0,0602;0,0042;0,067
1,940895;-0,0263;0,0168;0,0481;0,057
1,941649;-0,0238;0,1260;0,0483;0,137
1,965927;-0,0212;0,0035;-0,0024;0,022
1,966650;0,0197;-0,0424;-0,0020;0,047
1,966938;-0,0939;-0,0500;0,0498;0,117
1,999032;0,0217;0,0191;0,0502;0,058
1,999733;-0,0549;-0,1028;0,0462;0,125
2,016068;0,0230;0,0071;0,0464;0,052
2,016912;-0,0516;-0,0746;0,0467;0,102
2,017183;-0,0114;-0,0030;-0,0033;0,012
2,041067;-0,0101;-0,0828;-0,0031;0,083
2,041831;-0,0471;-0,0464;-0,0022;0,066
2,065819;0,1462;-0,0459;-0,0024;0,153
2,066590;0,1468;-0,0434;0,0613;0,165
2,066850;-0,0063;-0,0791;0,0611;0,100
2,095636;0,1469;0,0002;0,0081;0,147
2,096486;-0,0063;-0,0732;0,0079;0,074
2,115710;0,0320;-0,0298;0,0207;0,048
2,116534;-0,0063;0,0519;0,0203;0,056
2,116804;-0,0817;0,0952;0,0199;0,127
2,140457;-0,0415;0,1002;-0,0144;0,109
2,141226;-0,0390;0,0663;-0,0148;0,078
2,166231;0,0771;0,1070;-0,0112;0,132
2,166966;0,0777;0,0705;-0,0113;0,106
2,167241;-0,0374;-0,0420;-0,0104;0,057
2,194844;-0,1907;-0,1163;0,0350;0,226
2,195522;-0,1525;-0,1910;0,0349;0,247
2,215531;0,0008;-0,1527;0,0363;0,157
2,216381;-0,0758;-0,1137;0,0362;0,141
2,216689;-0,1506;-0,0360;0,0558;0,165
2,239369;-0,1481;-0,1108;0,0556;0,193
2,240105;-0,0690;0,0066;0,0570;0,090
2,265897;-0,0678;0,0455;0,0569;0,099
2,266621;-0,0646;0,0851;0,0378;0,113
2,266889;-0,0595;0,0481;0,0372;0,085
2,293181;-0,0160;0,0111;0,0369;0,042
2,293653;-0,0492;0,0507;-0,0189;0,073
2,315655;0,0326;0,1670;-0,0192;0,171
2,316575;0,0377;0,0918;-0,0020;0,099
2,316673;-0,0337;0,1315;-0,0023;0,136
2,340356;0,0098;0,0927;-0,0215;0,096
2,341178;0,0533;0,0520;-0,0215;0,078
2,365496;-0,0564;0,0496;0,0451;0,088
2,366294;0,0253;0,0471;-0,0363;0,065
2,366478;0,0681;0,0051;-0,0362;0,077
2,392706;0,0305;-0,0753;0,0459;0,093
2,393306;-0,0078;-0,1953;0,0463;0,201
2,415864;-0,0078;-0,0466;-0,0080;0,048
2,416705;0,0681;-0,0122;-0,0078;0,070
2,416990;-0,0111;-0,0162;-0,0026;0,020
2,440564;-0,0904;0,0565;-0,0022;0,107
2,441285;0,0219;-0,0624;-0,0018;0,066
2,465687;-0,0190;-0,0657;-0,0103;0,069
2,466420;-0,0198;-0,0671;-0,0101;0,071
2,466694;-0,0199;-0,1446;-0,0091;0,146
2,490657;0,0183;0,0857;-0,0092;0,088
2,491170;0,0565;-0,0651;-0,0012;0,086
2,515780;0,0181;-0,0232;-0,0014;0,029
2,516607;-0,0592;0,0571;-0,0017;0,082
2,516882;-0,0593;-0,0159;-0,0231;0,066
2,541041;0,0191;-0,0875;-0,0235;0,093
2,541857;-0,0167;0,0701;-0,0243;0,076
2,565670;-0,0142;0,1108;-0,0245;0,114
2,566380;0,0649;0,0750;0,0464;0,110
2,566645;-0,0091;-0,1140;0,0462;0,123
2,590765;0,0311;-0,1095;-0,0009;0,114
2,591442;0,0706;-0,1428;-0,0013;0,159
2,616027;0,0323;0,0149;-0,0018;0,036
2,617029;0,0304;-0,1371;-0,0006;0,140
2,617354;-0,1254;-0,2507;-0,0006;0,280
2,641265;-0,0896;-0,0949;0,0328;0,135
2,642024;-0,0539;0,0622;0,0327;0,089
2,665768;0,0202;-0,0119;0,0525;0,057
2,666500;-0,0200;-0,0470;0,0523;0,073
2,666782;-0,1758;-0,1197;0,0527;0,219
2,691018;-0,0998;-0,0405;0,0533;0,120
2,691508;-0,0997;0,0394;0,0531;0,120
2,715785;-0,0996;0,0447;0,0054;0,109
2,716716;-0,0229;0,1265;0,0050;0,129
2,716986;-0,0228;0,0162;0,0231;0,036
2,741046;-0,1364;-0,1350;0,0229;0,193
2,741801;-0,0175;0,1716;-0,0108;0,173
2,765793;-0,0124;0,2866;-0,0110;0,287
2,766603;-0,0455;0,2497;-0,0130;0,254
2,766869;-0,1170;0,0972;0,0207;0,153
2,790475;-0,0735;-0,0572;0,0206;0,095
2,790968;-0,1066;-0,0973;0,0127;0,145
2,815379;-0,1762;-0,1368;0,0126;0,223
2,816165;-0,0919;-0,1003;0,0091;0,136
2,816685;-0,0076;-0,0645;0,0090;0,066
2,840513;0,0358;0,0856;0,0082;0,093
2,841344;-0,0370;0,0063;0,0082;0,038
2,865790;-0,1482;-0,1495;-0,0147;0,211
2,866541;-0,1431;-0,1484;-0,0150;0,207
2,866825;-0,0997;-0,0686;-0,0309;0,125
2,890687;-0,2486;0,0883;-0,0142;0,264
2,891193;-0,2059;-0,0599;-0,0147;0,215
2,915897;-0,0859;-0,1316;-0,0324;0,160
2,916815;-0,1575;-0,2032;-0,0328;0,259
2,917133;-0,1122;-0,1976;-0,0314;0,229
2,940831;-0,1046;-0,0381;-0,0226;0,114
2,941569;-0,0951;0,0057;-0,0231;0,098
2,965712;-0,0492;-0,0276;0,0193;0,060
2,966459;-0,0429;0,0157;0,0189;0,049
2,966740;-0,1119;-0,0943;0,0193;0,148
2,990854;-0,1803;-0,0886;0,0189;0,202
2,991388;-0,0948;0,0696;0,0179;0,119
3,015917;-0,0475;-0,0020;0,0175;0,051
3,016741;-0,1159;0,1524;-0,0133;0,192
3,017070;-0,1829;0,1140;-0,0139;0,216
3,040937;-0,2110;0,0757;-0,0141;0,225
3,041669;-0,1261;0,2289;0,0443;0,265
3,065986;-0,1567;0,2269;0,0443;0,279
3,066781;-0,1107;0,2627;-0,0119;0,285
3,067085;-0,1797;0,3362;-0,0119;0,381
3,090778;-0,0934;0,1780;0,0015;0,201
3,091302;0,0298;0,0957;0,0017;0,100
3,115570;0,3446;-0,0638;-0,0118;0,351
3,116445;0,3536;-0,0701;0,0005;0,360
3,116929;0,2847;-0,1530;0,0008;0,323
3,141002;0,0223;-0,1210;0,0021;0,123
3,141721;-0,1252;0,0260;0,0024;0,128
3,165801;-0,1181;0,1340;0,0454;0,184
3,166513;-0,0345;0,1647;0,0458;0,174
3,166793;0,0862;0,0039;0,0472;0,098
3,190944;0,0530;-0,0790;0,0463;0,106
3,191417;0,0926;-0,3145;0,0467;0,331
3,215594;0,0926;-0,3164;0,0485;0,333
3,216514;0,0543;-0,1989;0,0483;0,212
3,216818;0,0524;-0,1950;0,0490;0,208
3,240716;-0,0287;-0,2256;0,0486;0,233
3,241435;0,0045;-0,1386;0,0150;0,140
3,265864;-0,0005;-0,1654;0,0144;0,166
3,266887;0,0710;-0,2680;0,0145;0,278
3,267189;0,1425;-0,1785;0,0146;0,229
3,298623;0,0627;-0,2417;0,0139;0,250
3,299311;0,0213;-0,2658;-0,0234;0,268
3,315859;-0,0981;-0,2894;-0,0241;0,306
3,317297;-0,1415;-0,0812;-0,0152;0,164
3,317681;-0,0700;-0,0264;-0,0159;0,076
3,340579;-0,0750;-0,0494;-0,0254;0,093
3,341346;0,0386;0,0796;-0,0261;0,092
3,366044;0,0003;-0,0239;-0,0264;0,036
3,366761;-0,0757;-0,0162;-0,0267;0,082
3,367053;0,0022;-0,0093;0,0236;0,025
3,395658;0,0405;0,1106;-0,0110;0,118
3,396398;0,0787;0,0370;-0,0111;0,088
3,415458;0,0404;0,2693;-0,0126;0,273
3,416334;0,0391;0,1944;-0,0127;0,199
3,416616;-0,0765;0,2339;-0,0089;0,246
3,441020;-0,1149;0,2337;-0,0095;0,261
3,441823;-0,1149;0,0778;-0,0094;0,139
3,465793;0,0012;0,1881;0,0195;0,189
3,466476;0,0778;0,2564;0,0198;0,269
3,466726;0,0389;0,2091;0,0196;0,214
3,495145;0,0363;0,1229;0,0200;0,130
3,495850;-0,1189;-0,0400;0,0473;0,134
3,516861;-0,0435;0,1803;0,0477;0,191
3,517652;-0,0455;0,1681;-0,0074;0,174
3,517923;0,0656;0,0788;0,0482;0,113
3,540818;-0,0135;0,0660;0,0489;0,083
3,541593;0,1002;0,0150;0,0111;0,102
3,565384;0,0223;-0,0359;0,0117;0,044
3,566105;-0,0153;-0,0466;0,0124;0,051
3,566366;-0,0147;-0,0567;0,0130;0,060
3,593765;0,0613;0,0104;0,0132;0,064
3,594434;-0,0165;0,0795;0,0011;0,081
3,615339;-0,0190;0,0356;0,0014;0,040
3,616012;-0,0190;-0,0442;0,0308;0,057
3,616339;-0,1333;-0,0083;0,0309;0,137
3,640567;-0,0541;0,0281;0,0186;0,064
3,643021;0,0628;0,0269;0,0183;0,071
3,665314;-0,0509;0,0646;0,0184;0,084
3,666031;-0,1262;0,0666;0,0182;0,144
3,666304;-0,1236;0,0309;0,0180;0,129
3,692180;-0,0062;0,1095;0,0176;0,111
3,692938;-0,0049;-0,0054;0,0176;0,019
3,715826;-0,0419;-0,0437;0,0299;0,068
3,716630;0,1120;0,0310;0,0300;0,120
3,716868;0,0736;0,0667;0,0176;0,101
3,740492;-0,0023;0,0259;0,0178;0,031
3,741568;-0,0394;-0,0533;0,0303;0,073
3,765782;0,0781;-0,0558;0,0304;0,101
3,766561;0,0794;-0,0584;0,0152;0,100
3,766844;0,1177;0,0540;0,0227;0,131
3,790959;0,1560;0,2047;0,0228;0,258
3,791439;0,2709;0,2405;0,0224;0,363
3,815747;0,2326;0,1218;0,0227;0,264
3,816510;0,2671;0,0037;0,0302;0,269
3,817017;0,3386;0,1544;0,0304;0,373
3,840604;0,1414;0,0747;0,0305;0,163
3,841570;0,0571;0,1111;0,0307;0,129
3,865727;0,2404;0,2235;0,0609;0,334
3,866439;0,3451;0,2957;0,0614;0,459
3,866698;0,3733;0,3284;0,0265;0,498
3,890771;0,4742;0,3974;0,0582;0,621
3,891346;0,4966;0,6172;0,0591;0,794
3,915684;0,4776;0,4513;0,0516;0,659
3,916809;0,4968;0,3985;0,0530;0,639
3,917168;0,4012;0,3451;-0,0313;0,530
3,940557;0,4148;0,3262;-0,0338;0,529
3,941862;0,3492;0,1899;-0,0314;0,399
3,965377;0,3156;0,1314;0,0505;0,346
3,966213;0,2456;0,1867;0,0533;0,313
3,966547;0,1770;0,1641;0,0532;0,247
3,991071;0,0707;0,0662;0,0562;0,112
3,991582;-0,0720;-0,1077;-0,0079;0,130
4,015148;-0,1375;-0,1277;-0,0049;0,188
4,015980;-0,0478;-0,1842;0,0547;0,198
4,016248;-0,0347;-0,0862;0,0019;0,093
4,040666;-0,1321;-0,1376;0,0043;0,191
4,041433;-0,1487;-0,1460;0,0371;0,212
4,065428;-0,1960;-0,2278;0,0381;0,303
4,066300;-0,2038;-0,3041;0,0407;0,368
4,066685;-0,2479;-0,2998;0,0407;0,391
4,090146;-0,2073;-0,2912;0,0291;0,359
4,090744;-0,2005;-0,2782;0,0275;0,344
4,116218;-0,1868;-0,2646;0,0818;0,334
4,117089;-0,1692;-0,1731;0,0800;0,255
4,117514;-0,1517;-0,2323;0,0775;0,288
4,140425;-0,0575;-0,1383;-0,0031;0,150
4,141183;-0,0400;-0,0442;-0,0054;0,060
4,166540;-0,0230;-0,0651;-0,0079;0,069
4,169888;-0,0066;-0,0476;-0,0101;0,049
4,170141;0,0110;0,0083;0,0476;0,050
4,190591;0,1430;0,0240;0,0445;0,152
4,191076;0,1576;-0,0010;0,0428;0,163
4,216135;0,1270;0,1650;0,0489;0,214
4,217165;0,1679;0,1722;0,0483;0,245
4,217499;0,0550;0,2138;-0,0399;0,224
4,240796;0,0927;0,2931;-0,0401;0,310
4,241587;0,1669;0,2919;0,0432;0,339
4,265778;0,1632;0,3662;0,0435;0,403
4,266803;0,1556;0,2482;-0,0444;0,296
4,267093;0,1474;0,1622;0,0165;0,220
4,290743;0,1367;0,2645;0,0179;0,298
4,291234;0,1624;0,2519;0,0269;0,301
4,315554;0,1121;0,1621;0,0285;0,199
4,315998;0,0241;0,1853;-0,0415;0,191
4,316218;0,0881;0,1696;-0,0396;0,195
4,340476;-0,0394;0,0371;-0,0365;0,065
4,341047;-0,0137;0,0961;-0,0344;0,103
4,365677;0,0133;0,0401;0,0529;0,068
4,366261;-0,1476;-0,0907;0,0572;0,182
4,366539;-0,1169;-0,1060;0,0590;0,168
4,390814;-0,0479;-0,0810;-0,0123;0,095
4,391306;-0,1315;-0,0918;-0,0109;0,161
4,415606;-0,0971;-0,0249;-0,0100;0,101
4,416595;-0,1739;-0,0711;-0,0093;0,188
4,416886;-0,0585;-0,1895;-0,0075;0,198
4,441015;-0,1322;-0,1508;0,0273;0,202
4,441632;-0,0507;-0,1103;0,0268;0,124
4,466107;-0,0075;-0,1075;0,0215;0,110
4,466706;-0,0027;-0,1009;0,0206;0,103
4,466970;-0,0743;-0,1695;0,0241;0,187
4,490521;-0,0311;-0,0829;0,0229;0,091
4,491012;-0,0261;-0,0346;0,0173;0,047
4,515485;-0,0594;-0,0629;0,0162;0,088
4,516100;-0,0161;-0,0529;-0,0094;0,056
4,516444;-0,0111;-0,0046;-0,0246;0,027
4,540797;-0,0062;0,0418;-0,0255;0,049
4,541429;-0,0785;-0,0274;-0,0256;0,087
4,566248;0,0383;0,0944;-0,0263;0,105
4,566838;0,0382;0,0995;-0,0282;0,110
4,567098;-0,0767;-0,1253;-0,0286;0,150
4,599555;-0,0384;-0,1207;0,0110;0,127
4,600040;-0,1149;-0,1181;0,0108;0,165
4,615638;-0,1149;-0,0006;-0,0290;0,119
4,616684;0,0000;0,0000;0,0335;0,034
4,616957;-0,1150;-0,0384;0,0335;0,126
4,640450;-0,0762;0,0763;0,0086;0,108
4,641147;-0,0354;0,0378;0,0085;0,053
4,665441;0,0819;0,0760;0,0315;0,116
4,666675;-0,0688;0,1122;0,0315;0,135
4,667075;-0,0644;-0,0034;0,0580;0,087
4,698650;-0,0593;0,0349;0,0577;0,090
4,699407;0,0225;0,0330;-0,0286;0,049
4,715469;0,0276;0,0689;-0,0287;0,080
4,716665;-0,0055;0,0663;-0,0080;0,067
4,716986;-0,0010;0,0255;-0,0080;0,027
4,740561;0,0016;0,0231;-0,0080;0,024
4,741433;0,0042;-0,0944;-0,0190;0,096
4,764921;0,0451;-0,0202;-0,0189;0,053
4,765681;-0,0289;-0,0227;-0,0189;0,041
4,765994;-0,0659;-0,0622;-0,0188;0,093
4,791364;0,0133;-0,0264;0,0581;0,065
4,791744;-0,0243;-0,0288;0,0587;0,070
4,815864;0,0523;0,0836;0,0589;0,115
4,816700;0,0524;0,0818;0,0578;0,113
4,816977;0,0518;-0,0720;0,0579;0,106
4,840178;0,0109;-0,0363;0,0585;0,070
4,840882;0,0083;0,0383;0,0588;0,071
4,865318;-0,0326;-0,0001;-0,0274;0,043
4,866068;-0,0352;0,0381;-0,0275;0,059
4,866323;0,0005;0,0381;-0,0274;0,047
4,895086;-0,0385;0,0380;-0,0061;0,054
4,895559;-0,0002;-0,0381;-0,0062;0,039
4,915387;0,0380;-0,0369;-0,0061;0,053
4,916050;-0,0386;-0,0356;-0,0062;0,053
4,916429;-0,0003;0,0403;-0,0066;0,041
4,940839;-0,0769;-0,0375;-0,0056;0,086
4,941583;-0,0003;0,0365;-0,0054;0,037
4,965250;-0,0003;-0,0420;-0,0126;0,044
4,965949;-0,0003;-0,0413;-0,0126;0,043
4,966210;-0,0003;0,0359;-0,0170;0,040
4,994236;0,1146;-0,0024;-0,0170;0,116
4,994866;0,0380;-0,1174;-0,0178;0,125
5,015636;0,0763;-0,0785;-0,0178;0,111
5,016443;-0,0004;-0,1143;-0,0224;0,116
5,016711;0,0762;-0,0351;-0,0228;0,087
5,040613;0,0379;-0,0326;-0,0230;0,055
5,041352;0,0379;0,0458;0,0359;0,069
5,065569;-0,0005;0,0470;0,0358;0,059
5,066350;0,0378;0,0100;-0,0104;0,040
5,066615;-0,0389;0,0514;-0,0107;0,065
5,092905;-0,0006;-0,0215;0,0354;0,041
5,093546;0,0370;0,0219;0,0351;0,055
5,115778;0,1110;-0,0899;-0,0128;0,143
5,116637;0,0701;-0,0127;-0,0128;0,072
5,116914;-0,0473;-0,0497;-0,0128;0,070
5,140362;0,0650;0,0294;-0,0133;0,073
5,141084;-0,0142;-0,0447;-0,0134;0,049
5,165359;-0,0167;-0,0044;0,0561;0,059
5,166093;-0,0576;-0,0044;0,0562;0,081
5,166500;-0,0984;-0,0427;-0,0237;0,110
5,190791;0,0139;-0,0044;-0,0236;0,028
5,191270;0,0880;-0,0043;-0,0235;0,091
5,215379;0,0472;0,0723;-0,0242;0,090
5,216358;0,0446;0,0723;-0,0241;0,088
5,216736;0,0038;-0,0425;0,0240;0,049
5,240362;-0,0370;-0,0042;0,0241;0,044
5,241294;0,0377;0,0724;0,0245;0,085
5,265809;-0,0006;0,0354;0,0244;0,043
5,266560;0,0760;0,0750;0,0409;0,114
5,266858;0,0760;0,0757;0,0408;0,115
5,290695;-0,0005;0,0759;0,0356;0,084
5,291197;-0,0003;-0,0005;0,0357;0,036
5,315499;-0,0002;-0,0387;0,0357;0,053
5,316051;0,0765;-0,0002;0,0138;0,078
5,316233;0,0383;0,0000;0,0138;0,041
5,340223;-0,0382;-0,0764;0,0055;0,086
5,340706;-0,1147;-0,1145;0,0055;0,162
5,365036;-0,0762;0,0006;0,0157;0,078
5,365454;-0,0761;-0,0375;0,0070;0,085
5,365560;0,0389;-0,1522;0,0070;0,157
5,390021;-0,1142;-0,1137;0,0310;0,164
5,390278;0,0009;-0,0752;0,0310;0,081
5,415576;-0,0373;-0,0731;0,0511;0,097
5,415956;-0,0755;0,0446;0,0508;0,101
5,416066;-0,0351;-0,0294;0,0384;0,060
5,440721;-0,0326;0,0115;0,0380;0,051
5,441455;-0,0300;-0,0242;0,0377;0,054
5,465173;0,1258;0,0549;0,0364;0,142
5,467162;0,1283;0,0575;0,0360;0,145
5,467536;0,0543;0,0217;-0,0106;0,059
5,490714;0,0185;0,0626;-0,0109;0,066
5,491217;-0,0172;0,1028;-0,0115;0,105
5,515431;0,1002;0,0263;-0,0116;0,104
5,515962;0,1009;0,0263;-0,0122;0,105
5,516105;-0,0140;-0,0120;0,0464;0,050
5,540848;-0,0893;-0,0502;0,0463;0,112
5,541907;-0,0874;0,1414;0,0461;0,172
5,566225;0,0295;0,1012;0,0461;0,115
5,568571;0,0295;0,0221;-0,0012;0,037
5,569002;0,0277;0,0962;-0,0010;0,100
5,590546;-0,0515;0,0936;0,0221;0,109
5,591019;0,0225;0,0508;0,0226;0,060
5,615933;0,0965;0,0080;0,0095;0,097
5,616778;-0,0210;-0,1096;0,0029;0,112
5,617070;-0,1002;0,1176;0,0032;0,155
5,640349;-0,0645;0,0753;0,0035;0,099
5,641537;0,0867;0,1486;0,0038;0,172
5,665047;0,0075;0,1083;0,0033;0,109
5,666005;-0,0699;0,1037;0,0037;0,125
5,666306;-0,2219;-0,0547;0,0449;0,233
5,690412;-0,1070;-0,0599;0,0460;0,131
5,690904;-0,0311;-0,0651;0,0465;0,086
5,715343;-0,0306;-0,1834;-0,0029;0,186
5,716094;-0,1048;-0,1861;-0,0028;0,214
5,716497;-0,1400;-0,1104;0,0192;0,179
5,740896;-0,1362;-0,0702;0,0189;0,154
5,741654;-0,2461;-0,0275;0,0189;0,248
5,765240;-0,2787;0,0919;0,0183;0,294
5,766738;-0,1944;0,0555;0,0173;0,203
5,767022;-0,2250;-0,0587;0,0169;0,233
5,791571;-0,2550;-0,0166;0,0565;0,262
5,792097;-0,1688;-0,0894;0,0027;0,191
5,815746;-0,1197;-0,0466;0,0018;0,128
5,816562;0,0067;-0,0013;0,0192;0,020
5,816858;0,0546;0,0447;0,0181;0,073
5,841118;0,0635;0,0906;0,0168;0,112
5,841865;0,0724;-0,0550;0,0159;0,092
5,866395;0,1184;-0,0876;0,0153;0,148
5,867117;0,1261;-0,0824;-0,0037;0,151
5,867376;0,0565;0,1117;-0,0042;0,125
5,890449;0,0590;0,2247;0,0076;0,232
5,890960;-0,0559;0,3371;0,0078;0,342
5,915654;-0,0948;0,2580;0,0066;0,275
5,916480;0,0559;0,1029;-0,0395;0,124
5,916793;0,1300;0,2548;-0,0393;0,289
5,940523;0,2034;0,2491;-0,0405;0,324
5,941301;0,0451;0,2032;-0,0397;0,212
5,965887;0,0394;0,0807;0,0513;0,103
5,966611;-0,0053;0,0731;0,0522;0,090
5,966902;-0,0493;-0,0494;0,0569;0,090
6,001575;-0,0160;-0,0953;0,0578;0,113
6,002322;-0,0977;-0,2944;0,0571;0,315
6,015461;-0,3709;0,0427;0,0580;0,378
6,017359;-0,3358;0,0734;0,0630;0,349
6,017672;-0,3383;0,0665;-0,0227;0,346
6,040188;-0,1436;0,0225;-0,0224;0,147
6,040988;-0,1755;-0,0975;0,0369;0,204
6,065854;-0,2457;-0,1025;0,0370;0,269
6,066604;-0,4301;-0,1841;0,0577;0,471
6,066888;-0,5354;-0,2266;0,0577;0,584
6,090473;-0,4849;-0,2226;0,0402;0,535
6,091090;-0,5066;-0,1765;0,0389;0,538
6,115576;-0,4491;-0,2837;0,0125;0,531
6,116354;-0,4645;-0,1591;0,0109;0,491
6,116646;-0,5176;-0,1483;0,0098;0,538
6,140061;-0,7590;-0,2505;-0,0095;0,799
6,140930;-0,6480;-0,3145;-0,0114;0,720
6,165452;-0,7656;-0,3018;0,0417;0,824
6,166322;-0,5384;-0,3274;0,0401;0,631
6,166602;-0,5411;-0,3893;0,0398;0,668
6,190269;-0,3541;-0,2968;0,0415;0,464
6,190929;-0,2048;-0,2407;0,0399;0,319
6,215563;-0,0555;-0,0672;0,0197;0,089
6,216382;-0,1366;-0,0086;0,0182;0,138
6,216633;-0,1054;-0,0267;0,0547;0,122
6,241704;-0,1885;-0,1271;0,0539;0,234
6,242475;-0,1221;-0,3424;0,0571;0,368
6,266304;0,0183;-0,2103;0,0564;0,218
6,267148;0,0400;-0,1944;0,0293;0,201
6,267402;-0,0916;-0,1031;0,0551;0,149
6,290277;-0,2257;-0,0520;0,0547;0,238
6,290754;-0,2526;-0,1541;0,0535;0,301
6,316328;-0,2041;-0,1394;0,0529;0,253
6,317140;-0,1575;-0,0091;0,0504;0,166
6,317448;-0,0350;0,0025;0,0499;0,061
6,340787;0,0090;-0,0255;0,0507;0,057
6,341541;-0,0645;-0,0177;-0,0385;0,077
6,365907;0,0159;0,0258;-0,0387;0,049
6,366619;0,0196;0,1076;0,0129;0,110
6,366874;-0,0137;0,1128;0,0128;0,114
6,390272;-0,0884;-0,1118;0,0011;0,143
6,390992;-0,2021;-0,1852;0,0010;0,274
6,415854;0,1452;1,1562;0,0010;1,165
6,419798;-0,0432;1,5003;-0,0079;1,501
6,420041;-0,6529;1,0764;-0,0077;1,259
6,440139;-1,0704;0,2311;-0,0287;1,095
6,440640;-1,3347;-0,2696;-0,0285;1,362
6,466317;-1,3309;-0,2741;-0,0500;1,360
